id,domain,p_emotional,predicted_emotional
c-01,technical_mechanical,0.001229,false
c-02,technical_mechanical,0.001559,false
c-03,technical_mechanical,0.027112,false
c-04,technical_mechanical,0.011069,false
c-05,technical_mechanical,0.027077,false
c-06,technical_mechanical,0.004879,false
c-07,natural_environment,0.005475,false
c-08,natural_environment,0.02658,false
c-09,natural_environment,0.002508,false
c-10,natural_environment,0.342171,false
c-11,natural_environment,0.239833,false
c-12,natural_environment,0.061785,false
c-13,commercial_urban,0.000079,false
c-14,commercial_urban,0.001836,false
c-15,commercial_urban,0.017461,false
c-16,commercial_urban,0.004133,false
c-17,commercial_urban,0.121436,false
c-18,commercial_urban,0.034731,false
c-19,routine_process,0.0067,false
c-20,routine_process,0.003267,false
c-21,routine_process,0.002426,false
c-22,routine_process,0.003207,false
c-23,routine_process,0.001672,false
c-24,routine_process,0.000687,false
