id,domain,condition,layer,norm_depth,p_emotional
c-01,technical_mechanical,C_complex_neutral,0,0.0625,0.003976
c-01,technical_mechanical,C_complex_neutral,1,0.125,0.000252
c-01,technical_mechanical,C_complex_neutral,2,0.1875,0.000024
c-01,technical_mechanical,C_complex_neutral,3,0.25,0.000024
c-01,technical_mechanical,C_complex_neutral,4,0.3125,0.00135
c-01,technical_mechanical,C_complex_neutral,5,0.375,0.00341
c-01,technical_mechanical,C_complex_neutral,6,0.4375,0.001898
c-01,technical_mechanical,C_complex_neutral,7,0.5,0.000893
c-01,technical_mechanical,C_complex_neutral,8,0.5625,0.00489
c-01,technical_mechanical,C_complex_neutral,9,0.625,0.001497
c-01,technical_mechanical,C_complex_neutral,10,0.6875,0.001229
c-01,technical_mechanical,C_complex_neutral,11,0.75,0.000506
c-01,technical_mechanical,C_complex_neutral,12,0.8125,0.000389
c-01,technical_mechanical,C_complex_neutral,13,0.875,0.000387
c-01,technical_mechanical,C_complex_neutral,14,0.9375,0.000332
c-01,technical_mechanical,C_complex_neutral,15,1.0,0.000331
c-02,technical_mechanical,C_complex_neutral,0,0.0625,0.472793
c-02,technical_mechanical,C_complex_neutral,1,0.125,0.373793
c-02,technical_mechanical,C_complex_neutral,2,0.1875,0.046191
c-02,technical_mechanical,C_complex_neutral,3,0.25,0.39488
c-02,technical_mechanical,C_complex_neutral,4,0.3125,0.091099
c-02,technical_mechanical,C_complex_neutral,5,0.375,0.0339
c-02,technical_mechanical,C_complex_neutral,6,0.4375,0.247156
c-02,technical_mechanical,C_complex_neutral,7,0.5,0.067737
c-02,technical_mechanical,C_complex_neutral,8,0.5625,0.006287
c-02,technical_mechanical,C_complex_neutral,9,0.625,0.002468
c-02,technical_mechanical,C_complex_neutral,10,0.6875,0.001559
c-02,technical_mechanical,C_complex_neutral,11,0.75,0.000962
c-02,technical_mechanical,C_complex_neutral,12,0.8125,0.000327
c-02,technical_mechanical,C_complex_neutral,13,0.875,0.000511
c-02,technical_mechanical,C_complex_neutral,14,0.9375,0.000725
c-02,technical_mechanical,C_complex_neutral,15,1.0,0.000857
c-03,technical_mechanical,C_complex_neutral,0,0.0625,0.88155
c-03,technical_mechanical,C_complex_neutral,1,0.125,0.637466
c-03,technical_mechanical,C_complex_neutral,2,0.1875,0.902971
c-03,technical_mechanical,C_complex_neutral,3,0.25,0.556801
c-03,technical_mechanical,C_complex_neutral,4,0.3125,0.993702
c-03,technical_mechanical,C_complex_neutral,5,0.375,0.94636
c-03,technical_mechanical,C_complex_neutral,6,0.4375,0.817378
c-03,technical_mechanical,C_complex_neutral,7,0.5,0.02721
c-03,technical_mechanical,C_complex_neutral,8,0.5625,0.004981
c-03,technical_mechanical,C_complex_neutral,9,0.625,0.008631
c-03,technical_mechanical,C_complex_neutral,10,0.6875,0.027112
c-03,technical_mechanical,C_complex_neutral,11,0.75,0.010621
c-03,technical_mechanical,C_complex_neutral,12,0.8125,0.006916
c-03,technical_mechanical,C_complex_neutral,13,0.875,0.022004
c-03,technical_mechanical,C_complex_neutral,14,0.9375,0.036046
c-03,technical_mechanical,C_complex_neutral,15,1.0,0.056163
c-04,technical_mechanical,C_complex_neutral,0,0.0625,0.983556
c-04,technical_mechanical,C_complex_neutral,1,0.125,0.901112
c-04,technical_mechanical,C_complex_neutral,2,0.1875,0.93565
